City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wailua homesteads,22.0669,-159.378,299.12,77,40,6.17,US,1686772923
1,grytviken,-54.2811,-36.5092,270.2,82,45,2.98,GS,1686772758
2,vila velha,-20.3297,-40.2925,299.12,81,20,5.66,BR,1686772730
3,zwedru,6.0667,-8.1281,296.09,92,97,1.61,LR,1686772924
4,bilibino,68.0546,166.4372,275.59,58,93,1.28,RU,1686772925
5,sal rei,16.1833,-22.9167,299.26,69,40,5.14,CV,1686772925
6,rongelap,11.1635,166.8941,300.84,81,79,9.73,MH,1686772926
7,campo grande,-20.4428,-54.6464,281.9,100,75,3.09,BR,1686772641
8,albany,42.6001,-73.9662,290.73,87,100,1.34,US,1686772766
9,okha,53.5739,142.9478,278.01,99,100,6.99,RU,1686772927
10,port saint john's,-31.6229,29.5448,291.5,65,100,3.58,ZA,1686772928
11,tura,25.5198,90.2201,296.58,96,93,4.69,IN,1686772928
12,palmas,-10.2128,-48.3603,306.08,43,0,3.6,BR,1686772726
13,invercargill,-46.4,168.35,277.25,84,100,1.96,NZ,1686772929
14,west island,-12.1568,96.8225,300.14,89,76,9.57,CC,1686772930
15,tralee,52.2704,-9.7026,290.19,94,99,1.06,IE,1686772930
16,byron bay,-28.65,153.6167,280.77,68,0,3.2,AU,1686772286
17,remire-montjoly,4.9167,-52.2667,301.17,83,75,5.66,GF,1686772931
18,port elizabeth,-33.918,25.5701,288.31,70,0,10.29,ZA,1686772931
19,tazovsky,67.4667,78.7,280.3,95,100,9.0,RU,1686772932
20,vilyuysk,63.7553,121.6247,281.17,89,100,2.05,RU,1686772932
21,al jahra',29.3375,47.6581,308.09,19,0,5.22,KW,1686772933
22,karratha,-20.7377,116.8463,292.86,38,13,4.42,AU,1686772933
23,dudinka,69.4058,86.1778,277.94,77,14,4.67,RU,1686772933
24,adamstown,-25.066,-130.1015,294.0,67,1,5.94,PN,1686772934
25,ushuaia,-54.8,-68.3,278.96,61,40,0.0,AR,1686772889
26,yinzhu,35.8786,119.9753,292.31,86,0,2.08,CN,1686772936
27,badger,64.8,-147.5333,286.77,63,97,1.92,US,1686772937
28,luderitz,-26.6481,15.1594,286.63,81,0,2.27,NA,1686772937
29,sitka,57.0531,-135.33,285.07,68,58,2.16,US,1686772938
30,hadibu,12.65,54.0333,301.05,80,100,7.94,YE,1686772938
31,bati,11.1833,40.0167,298.07,35,100,2.08,ET,1686772938
32,saipan,15.1355,145.701,300.73,100,48,4.47,MP,1686772939
33,jamestown,42.097,-79.2353,290.94,77,100,6.69,US,1686772940
34,rockland,41.1668,-74.0496,293.81,81,100,1.79,US,1686772849
35,waitangi,-43.9535,-176.5597,284.16,96,99,2.68,NZ,1686772941
36,whitehorse,60.7161,-135.0538,286.58,41,40,1.54,CA,1686772941
37,el calafate,-50.3408,-72.2768,275.55,86,78,0.56,AR,1686772942
38,prince rupert,54.3161,-130.3201,287.2,70,20,7.2,CA,1686772942
39,al burayqah,30.4062,19.5739,302.99,38,0,7.72,LY,1686772943
40,stanley,54.868,-1.6985,289.69,63,0,3.09,GB,1686772943
41,ust-nera,64.5667,143.2,287.16,67,40,1.52,RU,1686772943
42,iqaluit,63.7506,-68.5145,278.0,60,75,8.75,CA,1686772944
43,manokwari,-0.8667,134.0833,298.34,83,100,2.88,ID,1686772944
44,lorengau,-2.0226,147.2712,299.03,84,100,2.44,PG,1686772945
45,port-aux-francais,-49.35,70.2167,279.81,99,100,10.83,TF,1686772946
46,khandyga,62.6667,135.6,281.85,95,100,0.87,RU,1686772946
47,holualoa,19.6228,-155.9522,299.01,84,23,1.34,US,1686772947
48,dinard,48.6314,-2.0614,290.53,72,0,2.06,FR,1686772947
49,kodiak,57.79,-152.4072,280.88,87,100,4.63,US,1686772948
50,bomadi,5.1593,5.9252,297.79,87,99,1.73,NG,1686772948
51,coquimbo,-29.9533,-71.3436,288.0,67,0,3.6,CL,1686772771
52,priob'ye,62.5206,65.5964,281.29,56,47,4.83,RU,1686772949
53,port lincoln,-34.7333,135.8667,287.51,77,55,7.43,AU,1686772950
54,nabire,-3.3667,135.4833,297.18,93,100,1.5,ID,1686772950
55,sao joao da barra,-21.6403,-41.0511,299.2,84,0,6.51,BR,1686772950
56,pskov,57.8136,28.3496,288.1,82,0,0.0,RU,1686772951
57,fortuna,40.5982,-124.1573,289.78,81,75,6.69,US,1686772951
58,petropavlovsk-kamchatsky,53.0452,158.6483,283.48,76,0,2.0,RU,1686772952
59,piti village,13.4626,144.6933,300.76,87,89,5.82,GU,1686772952
60,bethel,41.3712,-73.414,292.05,86,100,1.54,US,1686772953
61,edinburgh of the seven seas,-37.0676,-12.3116,287.8,76,79,12.79,SH,1686772953
62,kolonia town,6.964,158.206,302.1,78,86,8.83,FM,1686772953
63,caiaponia,-16.9567,-51.8103,295.29,73,100,3.7,BR,1686772954
64,ribeira grande,38.5167,-28.7,293.58,88,20,7.72,PT,1686772954
65,isafjordur,66.0755,-23.124,283.17,81,75,2.06,IS,1686772691
66,antalaha,-14.9003,50.2788,294.85,88,21,2.25,MG,1686772955
67,alo,7.4178,6.7371,296.97,95,90,1.61,NG,1686772956
68,lampang,18.3333,99.5,296.56,95,86,0.48,TH,1686772956
69,college,64.8569,-147.8028,286.81,64,93,0.45,US,1686772957
70,island harbour,50.724,-1.2758,295.54,65,70,0.45,GB,1686772957
71,margaret river,-33.95,115.0667,288.31,71,98,8.31,AU,1686772957
72,lompoc,34.6391,-120.4579,298.53,76,100,3.6,US,1686772958
73,cabo san lucas,22.8909,-109.9124,307.38,56,22,3.4,MX,1686772789
74,bloemfontein,-29.1211,26.214,284.86,37,0,3.6,ZA,1686772829
75,mount isa,-20.7333,139.5,285.02,40,4,3.6,AU,1686772959
76,tangalle,6.024,80.7911,299.81,86,100,4.45,LK,1686772960
77,avarua,-21.2078,-159.775,297.18,88,75,4.12,CK,1686772960
78,el alto,-4.2714,-81.2147,299.96,64,99,8.09,PE,1686772960
79,klyuchi,52.2667,79.1667,285.93,51,0,1.79,RU,1686772961
80,tateyama,34.9833,139.8667,294.29,94,100,3.92,JP,1686772961
81,east london,-33.0153,27.9116,287.62,73,100,3.85,ZA,1686772962
82,lerwick,60.1545,-1.1494,288.15,77,28,3.0,GB,1686772962
83,st. john's,47.5649,-52.7093,285.53,84,75,3.09,CA,1686772963
84,nizhnesortymskiy,62.4397,71.7603,282.46,61,100,4.63,RU,1686772963
85,margate,51.3813,1.3862,290.3,80,0,3.13,GB,1686772964
86,port mathurin,-19.6833,63.4167,297.85,80,11,9.01,MU,1686772964
87,puerto ayora,-0.7393,-90.3518,302.13,87,74,5.36,EC,1686772965
88,puerto baquerizo moreno,-0.9,-89.6,300.7,74,75,6.69,EC,1686772966
89,udachny,66.4167,112.4,281.18,93,100,8.67,RU,1686772966
90,talnakh,69.4865,88.3972,277.71,85,8,3.2,RU,1686772967
91,puerto natales,-51.7236,-72.4875,277.4,81,75,7.72,CL,1686772931
92,ilulissat,69.2167,-51.1,274.16,80,75,3.09,GL,1686772968
93,ketchikan,55.3422,-131.6461,287.51,52,24,2.72,US,1686772969
94,longyearbyen,78.2186,15.6401,276.06,75,75,7.72,SJ,1686772969
95,kailua-kona,19.6406,-155.9956,301.13,84,40,5.14,US,1686772970
96,susuman,62.7833,148.1667,283.35,80,59,1.59,RU,1686772970
97,tiksi,71.6872,128.8694,274.44,79,100,2.95,RU,1686772971
98,nantucket,41.2835,-70.0995,296.18,81,100,6.87,US,1686772971
99,olonkinbyen,70.9221,-8.7187,275.58,98,100,6.89,SJ,1686772971
100,at taj,24.2049,23.2857,303.79,21,0,4.46,LY,1686772972
101,hermanus,-34.4187,19.2345,285.26,73,98,8.7,ZA,1686772972
102,jose maria morelos,23.3952,-103.8984,305.95,11,54,3.13,MX,1686772973
103,bredasdorp,-34.5322,20.0403,285.41,72,93,5.35,ZA,1686772973
104,yellowknife,62.456,-114.3525,289.44,55,100,3.09,CA,1686772974
105,illizi,26.4833,8.4667,311.04,14,45,1.13,DZ,1686772974
106,nova sintra,14.8667,-24.7167,294.05,79,28,6.9,CV,1686772975
107,vadso,70.0744,29.7487,284.64,66,0,5.66,NO,1686772975
108,lambertville,41.7659,-83.628,296.73,47,75,3.09,US,1686772976
109,grand falls-windsor,48.9332,-55.6649,298.43,38,97,3.72,CA,1686772976
110,blackmans bay,-43.0167,147.3167,280.22,89,6,3.03,AU,1686772977
111,chonchi,-42.6128,-73.8092,283.77,96,100,1.47,CL,1686772977
112,la passe,45.5549,-0.8967,296.28,84,100,4.68,FR,1686772978
113,forster,-32.1667,152.5167,281.98,71,0,3.53,AU,1686772978
114,anadyr,64.75,177.4833,277.43,60,0,6.0,RU,1686772979
115,komsomol'skiy,43.9783,46.6985,296.29,74,100,3.23,RU,1686772979
116,vorgashor,67.5833,63.95,274.48,92,100,7.87,RU,1686772980
117,kiunga,-6.1219,141.2906,296.16,99,100,1.07,PG,1686772980
118,callao,-12.0667,-77.15,296.31,64,100,3.09,PE,1686772981
119,papatowai,-46.5619,169.4708,279.49,73,100,2.03,NZ,1686772981
120,namsos,64.4662,11.4957,285.1,66,0,1.54,NO,1686772982
121,hithadhoo,-0.6,73.0833,301.5,76,35,4.66,MV,1686772982
122,isangel,-19.55,169.2667,295.21,83,20,0.0,VU,1686772946
123,hasaki,35.7333,140.8333,294.42,94,100,5.9,JP,1686772984
124,midvagur,62.0511,-7.1939,285.61,66,75,1.54,FO,1686772984
125,thompson,55.7435,-97.8558,287.24,44,75,3.09,CA,1686772985
126,aydarken,39.9443,71.3429,291.03,41,100,3.26,KG,1686772985
127,igarka,67.4667,86.5833,280.56,82,99,6.7,RU,1686772986
128,west bay,19.3667,-81.4167,305.19,73,20,6.17,KY,1686772987
129,pago pago,-14.2781,-170.7025,299.35,85,98,7.6,AS,1686772988
130,kapuskasing,49.4169,-82.4331,289.2,77,100,3.6,CA,1686772988
131,sale,34.0389,-6.8166,294.68,88,40,6.17,MA,1686772989
132,kuraymah,18.55,31.85,309.81,10,27,1.53,SD,1686772990
133,vila franca do campo,37.7167,-25.4333,293.38,87,23,4.09,PT,1686772990
134,lebrija,36.9208,-6.0753,300.42,60,0,2.57,ES,1686772991
135,peace river,56.2501,-117.286,290.32,67,100,5.14,CA,1686772991
136,gadzhiyevo,69.2551,33.3362,282.28,72,100,6.53,RU,1686772992
137,vinita,36.6387,-95.1541,301.18,61,97,2.24,US,1686772992
138,portland,45.5234,-122.6762,293.23,51,75,3.6,US,1686772740
139,ishikawa,26.4233,127.8214,298.13,100,100,4.12,JP,1686772993
140,cozumel,20.5083,-86.9458,305.34,78,5,4.02,MX,1686772775
141,afaahiti,-17.75,-149.2833,302.08,74,72,7.89,PF,1686772994
142,villanueva,15.3167,-88.0,309.7,44,40,2.06,HN,1686772779
143,canitas de felipe pescador,23.6,-102.7167,305.92,7,98,1.69,MX,1686772995
144,beroroha,-21.6667,45.1667,290.51,32,0,0.77,MG,1686772996
145,sinan,34.8262,126.1086,290.21,82,2,2.33,KR,1686772996
146,carbonear,47.7332,-53.2148,285.79,81,100,2.52,CA,1686772997
147,nar'yan-mar,67.6713,53.087,276.92,79,59,6.07,RU,1686772997
148,aras-asan,8.8908,126.3033,298.63,82,80,1.98,PH,1686772998
149,mafeteng,-29.823,27.2374,278.96,49,71,2.8,LS,1686772998
150,colipapa,9.4726,122.5616,298.76,89,100,3.35,PH,1686772999
151,san patricio,28.017,-97.5169,308.2,42,55,7.7,US,1686772999
152,sisimiut,66.9395,-53.6735,275.49,69,42,3.52,GL,1686773000
153,westport,41.1415,-73.3579,293.3,86,100,3.09,US,1686772890
154,kingston,17.997,-76.7936,306.62,76,20,11.32,JM,1686773001
155,kununurra,-15.7667,128.7333,289.14,67,85,2.57,AU,1686773002
156,torata,-17.0769,-70.8433,293.1,18,0,3.3,PE,1686773002
157,saudarkrokur,65.7461,-19.6394,288.77,62,99,1.65,IS,1686773002
158,cidreira,-30.1811,-50.2056,289.3,75,100,6.83,BR,1686773003
159,barcelos,41.5388,-8.6151,295.33,88,27,2.41,PT,1686773003
160,lihue,21.9789,-159.3672,300.73,77,20,5.66,US,1686772994
161,punta arenas,-53.15,-70.9167,278.21,84,75,6.69,CL,1686773004
162,new norfolk,-42.7826,147.0587,280.87,79,5,1.07,AU,1686773005
163,ishimbay,53.4545,56.0415,288.02,65,92,2.04,RU,1686773005
164,mar del plata,-38.0023,-57.5575,285.34,56,0,9.26,AR,1686772830
165,weno,7.4515,151.8468,302.12,84,100,2.06,FM,1686773006
166,alice springs,-23.7,133.8833,274.9,75,0,2.06,AU,1686772880
167,georgetown,5.4112,100.3354,301.11,89,20,1.54,MY,1686772847
168,lakatoro,-16.0999,167.4164,298.29,86,95,3.54,VU,1686773007
169,atafu village,-8.5421,-172.5159,301.77,71,23,4.69,TK,1686773008
170,penne,42.4538,13.9299,291.85,92,100,1.6,IT,1686773008
171,acarau,-2.8856,-40.12,300.19,75,0,6.66,BR,1686773009
172,arica,-18.475,-70.3042,295.9,68,40,6.69,CL,1686772997
173,utrik,11.2278,169.8474,300.68,80,94,9.7,MH,1686773009
174,male,4.1748,73.5089,303.12,84,75,5.14,MV,1686773010
175,itanhaem,-24.1831,-46.7889,291.59,94,100,3.2,BR,1686773010
176,albertina,-22.2008,-46.6158,290.95,83,98,1.39,BR,1686773011
177,thinadhoo,0.5333,72.9333,301.74,77,98,5.48,MV,1686773011
178,alzamay,55.5562,98.6644,277.67,89,38,3.12,RU,1686773012
179,hawaiian paradise park,19.5933,-154.9731,299.88,81,100,4.21,US,1686773012
180,kalevala,65.2,31.1667,287.8,52,59,2.3,RU,1686773013
181,dudhani,17.3667,76.3667,301.46,60,3,9.92,IN,1686773013
182,veshenskaya,49.6303,41.7334,292.03,88,100,3.46,RU,1686772931
183,quellon,-43.1167,-73.6167,283.29,100,100,1.03,CL,1686772930
184,hammerfest,70.6634,23.6821,280.4,87,75,12.35,NO,1686773014
185,flying fish cove,-10.4217,105.6791,298.97,88,100,6.69,CX,1686773015
186,hirara,24.8,125.2833,299.07,100,100,3.6,JP,1686773015
187,kabompo,-13.5927,24.2008,289.06,38,5,2.08,ZM,1686773016
188,cabedelo,-6.9811,-34.8339,296.52,86,3,5.33,BR,1686773016
189,vernon,50.2581,-119.2691,291.09,50,100,1.79,CA,1686772816
190,villa gesell,-37.2639,-56.973,284.85,58,58,5.35,AR,1686773017
191,bac lieu,9.285,105.7244,300.39,82,100,3.54,VN,1686773018
192,yayva,59.3303,57.2641,286.03,90,71,1.18,RU,1686773018
193,tokar,18.4254,37.729,308.34,25,3,2.1,SD,1686773018
194,khilok,51.3674,110.4676,280.23,95,14,1.34,RU,1686773019
195,klaksvik,62.2266,-6.589,285.66,88,100,3.79,FO,1686773019
196,safidon,29.4167,76.6667,305.42,37,10,2.85,IN,1686773020
197,nuuk,64.1835,-51.7216,279.49,56,20,4.63,GL,1686773020
198,dwarka,22.2394,68.9678,301.18,77,100,17.62,IN,1686773021
199,magong,23.5654,119.5863,299.91,83,100,4.38,TW,1686773021
200,chernyshevsk,52.5243,117.0174,284.83,43,82,1.48,RU,1686773022
201,san antonio de pale,-1.4014,5.6325,298.14,88,84,5.63,GQ,1686773022
202,gap,44.6667,6.0,283.61,82,3,2.36,FR,1686773023
203,iskateley,67.6803,53.1512,276.88,79,63,5.98,RU,1686773023
204,guiuan,11.0333,125.7247,301.47,73,100,1.87,PH,1686773024
205,al khaburah,23.9886,57.0984,308.93,34,71,5.27,OM,1686773024
206,altay,47.8667,88.1167,286.16,62,73,0.57,CN,1686773025
207,meulaboh,4.1363,96.1285,298.04,85,89,1.85,ID,1686773025
208,queenstown,-31.8976,26.8753,283.33,73,100,10.14,ZA,1686773026
209,ta khmau,11.4833,104.95,302.18,74,40,4.63,KH,1686773026
210,namibe,-15.1961,12.1522,291.24,85,8,3.84,AO,1686773027
211,ar rutbah,33.0381,40.2848,302.59,25,0,3.39,IQ,1686773028
212,toliara,-23.35,43.6667,293.3,72,0,3.02,MG,1686773029
213,enewetak,11.3474,162.3373,300.74,82,100,9.41,MH,1686773029
214,ghazni,33.5536,68.4269,294.2,42,69,3.04,AF,1686773030
215,kalaoa,19.7286,-155.9817,299.67,84,40,5.14,US,1686773030
216,antonio enes,-16.2325,39.9086,295.75,68,2,3.17,MZ,1686773030
217,saint-philippe,-21.3585,55.7679,296.92,82,45,3.72,RE,1686772901
218,manchar,19.0,73.9333,297.35,79,17,6.89,IN,1686773031
219,magadan,59.5667,150.8,280.94,70,36,1.87,RU,1686773002
220,port alfred,-33.5906,26.891,284.92,83,78,1.34,ZA,1686772955
221,camabatela,-8.1881,15.375,290.88,75,5,0.77,AO,1686773032
222,ha'il,27.5219,41.6907,308.16,15,20,4.12,SA,1686773033
223,huntsville,34.7304,-86.5861,298.68,81,100,2.68,US,1686772442
224,neftegorsk,52.802,51.166,293.81,61,100,3.76,RU,1686773034
225,khanty-mansiysk,61.0042,69.0019,286.21,44,0,3.13,RU,1686773035
226,hami,42.8,93.45,300.42,16,49,6.09,CN,1686772968
227,hatillo,18.4863,-66.8254,307.47,74,86,3.58,PR,1686773036
228,qaqortoq,60.7167,-46.0333,276.86,93,95,1.34,GL,1686773037
229,mount gambier,-37.8333,140.7667,285.39,94,100,4.54,AU,1686773038
230,chui,-33.6971,-53.4616,284.09,67,0,2.75,UY,1686773038
231,kill devil hills,36.0307,-75.676,301.47,41,0,9.77,US,1686773039
232,valdovino,43.6094,-8.1115,292.67,86,23,3.3,ES,1686773039
233,kourou,5.1552,-52.6478,300.18,81,68,3.39,GF,1686773039
234,la ronge,55.1001,-105.2842,291.27,55,40,8.23,CA,1686773040
235,milton,34.1322,-84.3007,296.18,94,84,4.75,US,1686773040
236,yuzhno-kurilsk,44.0306,145.8556,284.36,99,100,2.66,RU,1686773041
237,mwene-ditu,-7.0,23.45,294.49,68,2,1.13,CD,1686773042
238,banda aceh,5.5577,95.3222,300.13,80,99,5.11,ID,1686773042
239,trostyanets',50.4784,34.963,289.93,96,99,2.57,UA,1686773042
240,duayaw-nkwanta,7.1724,-2.1028,296.03,86,98,1.43,GH,1686773043
241,saint-joseph,-21.3667,55.6167,296.36,81,18,3.98,RE,1686773044
242,swakopmund,-22.6833,14.5333,286.62,84,0,4.38,NA,1686773044
243,sretensk,52.2453,117.7093,285.88,52,100,1.0,RU,1686773045
244,visaginas,55.6,26.4167,288.74,69,100,2.0,LT,1686773045
245,tsiombe,-25.3,45.4833,292.09,93,0,1.06,MG,1686773046
246,egilsstadir,65.2653,-14.3948,288.1,63,75,5.66,IS,1686773046
247,las palmas,28.4204,-14.0131,294.59,78,20,5.66,ES,1686773047
248,lashio,22.9333,97.75,293.04,97,100,0.64,MM,1686773047
249,crane,31.3974,-102.3501,309.27,8,93,6.95,US,1686773048
250,ta`u,-14.2336,-169.5144,300.24,81,100,8.09,AS,1686773048
251,papao,-17.75,-149.55,302.97,72,77,7.86,PF,1686773049
252,fale old settlement,-9.3852,-171.2468,301.62,74,96,4.94,TK,1686773049
253,mormugao,15.4,73.8,301.33,79,100,5.59,IN,1686772833
254,zouerate,22.7187,-12.4521,306.09,15,6,4.86,MR,1686773050
255,merizo village,13.2658,144.6691,300.58,89,98,6.53,GU,1686773051
256,moissala,8.3404,17.7663,298.39,76,87,1.75,TD,1686773052
257,pandan,14.0453,124.1694,299.87,88,100,2.59,PH,1686773052
258,port blair,11.6667,92.75,300.17,83,75,4.12,IN,1686773052
259,bokhan,53.153,103.7714,279.97,91,100,7.19,RU,1686773053
260,colares,38.7992,-9.4469,294.7,80,20,9.77,PT,1686773054
261,tataouine,32.9297,10.4518,296.41,57,31,7.46,TN,1686773054
262,emerald,-23.5333,148.1667,284.45,51,4,4.7,AU,1686773055
263,oranjemund,-28.55,16.4333,287.5,77,19,3.38,NA,1686773055
264,ambagarh chauki,20.7833,80.7167,304.02,34,65,2.36,IN,1686773056
265,lincheng,19.9078,109.6858,300.35,83,100,2.46,CN,1686773056
266,tobruk,32.0836,23.9764,295.66,76,0,3.48,LY,1686773056
267,huarmey,-10.0681,-78.1522,297.01,66,5,5.87,PE,1686773057
268,boca suno,-0.7167,-77.1333,296.92,98,100,1.16,EC,1686773058
269,chilaw,7.5758,79.7953,300.16,85,100,6.53,LK,1686773058
270,morondava,-20.2833,44.2833,294.15,62,0,3.64,MG,1686773059
271,ciudad lazaro cardenas,17.9583,-102.2,304.9,54,86,5.32,MX,1686773059
272,atar,20.5169,-13.0499,310.17,13,0,3.77,MR,1686773060
273,dunedin,-45.8742,170.5036,280.82,66,97,3.58,NZ,1686772985
274,saint-pierre,-21.3393,55.4781,296.97,73,0,2.06,RE,1686773060
275,tolanaro,-25.0319,46.9987,296.19,73,0,5.14,MG,1686773061
276,cooma,-36.2333,149.1333,272.89,91,29,1.34,AU,1686773061
277,miri,4.4148,114.0089,297.23,100,40,1.03,MY,1686773062
278,pimentel,-6.8367,-79.9342,300.31,54,40,5.66,PE,1686773062
279,n'dalatando,-9.2978,14.9116,292.52,70,7,0.84,AO,1686773063
